record_id,insect_id,plant_name,plant_family,observation_type,plant_part,life_stage,reference,notes
248,species-0273,毛織物,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
249,species-0273,不明,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
250,species-0273,動物の毛皮,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
251,species-0273,魚粉などの動物質,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
252,species-0275,哺乳類の毛や鳥類の羽毛と,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
253,species-0275,これらの加工品。他にもフクロウの羽やハイタカのペリット,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
254,species-0277,不明,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
255,species-0277,動物の毛皮・糞,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
256,species-0277,猛禽類のペリット,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
257,species-0279,鳥の羽,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
258,species-0279,不明,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
259,species-0279,ペレットなどのケラチン質。オオタカとフクロウの巣にある食べ残しの骨についている肉,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
260,species-0280,地衣類,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
261,species-0280,昆虫の死骸,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
262,species-0281,枯れ葉,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
263,species-0282,地衣類,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
264,species-0282,昆虫の死骸,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
265,species-0283,地衣類,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
266,species-0283,昆虫の死骸,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
267,species-0288,朽ち木,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
268,species-0288,枯れ木の樹皮,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
269,species-0290,ヤブニッケイの枯れ枝,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
270,species-0291,枯れ木の樹皮,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
